Location 1,Location 2,Price,Rooms,Bathrooms,Car Parks,Type,Area (in Square meter),Furnishing
Kepong,Kuala Lumpur,475000,3,2,0,Built-up,1150,Partly
Wangsa Maju,Kuala Lumpur,540000,3,2,0,Built-up,1150,Partly
Taman Desa,Kuala Lumpur,670000,3,2,0,Built-up,1150,Fully
Kepong,Kuala Lumpur,445000,3,2,0,Built-up,1150,Unfurnished
Kuchai Lama,Kuala Lumpur,853400,3,2,0,Built-up,1150,Partly
Kuchai Lama,Kuala Lumpur,1004000,3,2,0,Built-up,1150,Partly
Jalan Klang Lama,Kuala Lumpur,620000,3,2,0,Built-up,1150,Partly
Wangsa Maju,Kuala Lumpur,480000,3,2,0,Built-up,1150,Unfurnished
Dutamas,Kuala Lumpur,896670,2,2,0,Built-up,1151,Partly
Dutamas,Kuala Lumpur,896670,4,3,0,Built-up,1151,Partly
Dutamas,Kuala Lumpur,896670,2,2,0,Built-up,1151,Partly
Dutamas,Kuala Lumpur,896670,2,2,0,Built-up,1151,Partly
Dutamas,Kuala Lumpur,807000,2,2,0,Built-up,1151,Partly
Dutamas,Kuala Lumpur,896670,2,2,0,Built-up,1151,Partly
Taman Desa,Kuala Lumpur,645000,3,2,0,Built-up,1152,Fully
KLCC,Kuala Lumpur,1700000,2,0,0,Built-up,1152,Fully
Bandar Tasik Selatan,Kuala Lumpur,690000,3,2,0,Built-up,1154,Unfurnished
Segambut,Kuala Lumpur,630000,3,3,0,Built-up,1155,Partly
KL City,Kuala Lumpur,1960000,3,3,0,Built-up,1157,Partly
KLCC,Kuala Lumpur,1910000,2,2,0,Built-up,1159,Partly
KLCC,Kuala Lumpur,1910000,2,2,0,Built-up,1159,Partly
KLCC,Kuala Lumpur,1910000,2,2,0,Built-up,1159,Partly
Titiwangsa,Kuala Lumpur,620000,3,2,0,Built-up,1160,Partly
Taman Desa,Kuala Lumpur,660000,3,2,0,Built-up,1160,Fully
Bangsar,Kuala Lumpur,1162000,2,2,0,Built-up,1162,Fully
Damansara Heights,Kuala Lumpur,1710000,2,2,0,Built-up,1163,Partly
Jalan Klang Lama,Kuala Lumpur,650000,2,2,0,Built-up,1164,Unfurnished
Kepong,Kuala Lumpur,618000,3,2,0,Built-up,1164,Fully
KLCC,Kuala Lumpur,1050000,3,1,0,Built-up,1164,Fully
Jalan Klang Lama,Kuala Lumpur,688000,2,2,0,Built-up,1164,Partly
Jalan Klang Lama,Kuala Lumpur,668000,2,2,0,Built-up,1164,Unfurnished
Jalan Klang Lama,Kuala Lumpur,650000,2,2,0,Built-up,1164,Unfurnished
Jalan Klang Lama,Kuala Lumpur,700000,2,2,0,Built-up,1164,Unfurnished
Jalan Klang Lama,Kuala Lumpur,650000,2,2,0,Built-up,1164,Partly
Jalan Klang Lama,Kuala Lumpur,680000,2,2,0,Built-up,1164,Fully
Jalan Klang Lama,Kuala Lumpur,668000,2,2,0,Built-up,1164,Unfurnished
Setapak,Kuala Lumpur,430000,4,2,0,Built-up,1166,Partly
Desa Petaling,Kuala Lumpur,400000,3,2,0,Built-up,1166,Partly
Desa Pandan,Kuala Lumpur,750000,3,2,0,Built-up,1168,Partly
Jalan Klang Lama,Kuala Lumpur,720000,3,2,0,Built-up,1168,Partly
Jalan Klang Lama,Kuala Lumpur,680000,3,2,0,Built-up,1168,Partly
Setapak,Kuala Lumpur,380000,3,2,0,Built-up,1169,Partly
Bukit Jalil,Kuala Lumpur,800000,2,2,0,Built-up,1170,Fully
Cheras,Kuala Lumpur,580000,3,3,0,Built-up,1170,Partly
Taman Desa,Kuala Lumpur,660000,3,2,0,Built-up,1170,Partly
Taman Tun Dr Ismail,Kuala Lumpur,980000,3,2,0,Built-up,1175,Partly
